0 1 2
0 150 1
1 151 1
2 152 1
3 153 1
4 154 1
5 155 1
5 156 1
6 157 1
6 158 1
6 159 1
6 160 1
6 161 1
7 162 1
8 163 1
9 164 1
10 165 1
11 166 1
12 167 1
13 168 1
13 169 1
14 170 1
15 171 1
16 172 1
17 173 1
18 174 1
18 175 1
18 176 1
19 177 1
20 178 1
21 179 1
22 180 1
22 181 1
23 182 1
24 183 1
25 184 1
26 185 1
27 186 1
28 187 1
29 188 1
29 189 1
29 190 1
29 191 1
29 192 1
30 193 1
31 194 1
32 195 1
33 196 1
34 197 1
35 198 1
35 199 1
35 200 1
35 201 1
36 202 1
37 203 1
38 204 1
39 205 1
40 206 1
41 207 1
41 208 1
41 209 1
42 210 1
43 211 1
44 212 1
44 213 1
45 214 1
46 215 1
47 216 1
48 217 1
49 218 1
49 219 1
49 220 1
50 221 1
51 222 1
52 223 1
53 224 1
54 225 1
55 226 1
56 227 1
57 228 1
57 229 1
57 230 1
57 231 1
57 232 1
57 233 1
57 234 1
57 235 1
57 236 1
57 237 1
57 238 1
57 239 1
58 240 1
59 241 1
59 242 1
60 243 1
61 244 1
62 245 1
63 246 1
64 247 1
65 248 1
66 249 1
67 250 1
67 251 1
67 252 1
68 253 1
69 254 1
70 255 1
71 256 1
72 257 1
73 258 1
74 259 1
74 260 1
75 261 1
76 262 1
77 263 1
78 264 1
78 265 1
78 266 1
79 267 1
80 268 1
81 269 1
82 270 1
82 271 1
82 272 1
83 273 1
84 274 1
85 275 1
86 276 1
86 277 1
87 278 1
88 279 1
88 280 1
89 281 1
90 282 1
91 283 1
92 284 1
93 285 1
94 286 1
95 287 1
96 288 1
97 289 1
98 290 1
99 291 1
100 292 1
100 293 1
101 294 1
102 295 1
103 296 1
104 297 1
105 298 1
106 299 1
107 300 1
108 301 1
109 302 1
109 303 1
